,1st,2nd,3rd,Events,Name,Average Score,Rounds,Total Adjustment,Total Strokes,Average Drive,Driving Percentage,Fairways Hit,Possible Fairways,Greens Percentage,SG: Tee-to-Green,SG: Total,SG: Putting,Scrambling %
23,0.0,0.0,0.0,14.0,Francesco Molinari,69.682,53.0,-10.877,3495.0,290.3,71.71,502.0,700.0,67.78,1.648,1.667,0.019,62.07
24,0.0,1.0,0.0,16.0,Sean O'Hair,70.685,55.0,-4.303,3892.0,295.4,60.63,465.0,767.0,66.26,0.419,0.666,0.248,58.98
25,0.0,0.0,1.0,20.0,Scott Piercy,71.058,65.0,21.574,4384.0,295.9,59.31,513.0,865.0,66.85,0.295,-0.006,-0.301,51.08
26,0.0,2.0,0.0,10.0,Justin Rose,69.827,38.0,-5.227,2519.0,299.9,58.25,293.0,503.0,69.44,1.249,1.358,0.109,59.09
27,0.0,0.0,1.0,19.0,Ollie Schniederjans,70.546,65.0,4.828,4369.0,297.2,50.69,439.0,866.0,65.68,0.708,0.723,0.015,58.75
28,0.0,0.0,0.0,11.0,Adam Scott,69.926,42.0,-15.125,2952.0,302.6,58.16,342.0,588.0,67.86,1.111,1.341,0.23,59.26
29,0.0,0.0,0.0,18.0,Kyle Stanley,69.927,66.0,9.467,4326.0,295.7,67.82,586.0,864.0,71.95,1.577,1.323,-0.253,60.38
30,1.0,0.0,0.0,16.0,Brendan Steele,70.454,61.0,13.429,3932.0,298.3,63.32,499.0,788.0,67.66,1.105,1.199,0.094,66.87
31,0.0,2.0,0.0,16.0,Gary Woodland,70.576,56.0,3.361,3596.0,303.0,59.66,423.0,709.0,68.85,0.976,0.837,-0.138,59.79
32,0.0,0.0,0.0,15.0,Byeong Hun An,70.943,57.0,-12.987,3702.0,298.4,56.77,411.0,724.0,66.67,1.173,0.983,-0.19,57.37
33,0.0,0.0,1.0,18.0,Dominic Bozzelli,71.327,55.0,3.695,3634.0,293.3,55.85,396.0,709.0,62.2,-0.133,-0.135,-0.002,59.08
34,0.0,0.0,0.0,19.0,Keegan Bradley,70.798,64.0,19.445,4370.0,295.7,64.93,561.0,864.0,68.55,0.499,0.341,-0.158,57.83
35,0.0,0.0,0.0,12.0,Rafa Cabrera Bello,70.584,39.0,-12.959,2554.0,287.7,61.31,309.0,504.0,63.89,-0.114,0.747,0.861,60.68
36,1.0,0.0,0.0,17.0,Kevin Chappell,71.218,59.0,-10.244,3856.0,299.9,58.81,444.0,755.0,66.56,0.815,0.344,-0.471,57.23
37,0.0,0.0,0.0,19.0,Stewart Cink,69.96,69.0,4.264,4823.0,294.0,53.59,515.0,961.0,69.08,0.829,1.295,0.466,59.11
38,0.0,0.0,1.0,19.0,James Hahn,71.096,64.0,10.133,4540.0,292.7,64.25,575.0,895.0,67.53,0.346,0.316,-0.03,59.63
39,0.0,0.0,0.0,9.0,Tyrrell Hatton,70.13,31.0,-15.622,1839.0,288.5,62.64,228.0,364.0,62.82,0.789,1.864,1.075,60.92
